Player,I,O,R,W,Econ,Avg,SR,4W,5W,BBI,4s,6s,Dots
AS Joseph,1,4.0,33,2,8.25,16.50,12.00,0,0,2/33,0,3,8
DL Chahar,1,4.0,29,0,7.25,0,0,0,0,0/29,1,2,9
HH Pandya,1,3.0,28,0,9.33,0,0,0,0,0/28,2,2,6
JB Little,1,4.0,41,1,10.25,41.00,24.00,0,0,1/41,4,3,10
MJ Santner,1,4.0,32,0,8.00,0,0,0,0,0/32,5,0,7
Mohammed Shami,1,4.0,29,2,7.25,14.50,12.00,0,0,2/29,2,2,14
RA Jadeja,1,4.0,28,1,7.00,28.00,24.00,0,0,1/28,1,1,9
Rashid Khan,1,4.0,26,2,6.50,13.00,12.00,0,0,2/26,2,1,10
RS Hangargekar,1,4.0,36,3,9.00,12.00,8.00,0,0,3/36,4,1,11
TU Deshpande,1,3.2,51,1,15.30,51.00,20.00,0,0,1/51,4,4,5
Yash Dayal,1,1.0,14,0,14.00,0,0,0,0,0/14,0,2,2
